Type,Key,Channel,Value,Description
salesperson,1.97995E+18,B2B,,Mitch Merker - Sales rep for B2B dealer accounts. Add new B2B sales reps here with Channel=B2B.
salesperson,1.97995E+18,B2B,,Serge Giguere - Sales rep for B2B dealer accounts (Quebec). Add new B2B sales reps here with Channel=B2B.
salesperson,1.97995E+18,Costco,,Costco Online - Salesperson assigned to Costco.ca online orders. Add new Costco salesperson IDs here.
salesperson,1.97995E+18,Costco,,Costco RoadShow - Salesperson assigned to Costco in-store roadshow events. Any salesperson NOT listed here defaults to Retail.
vendor,1.97995E+18,Retail,,Rolls Right Industries Ltd. - Fulfillment/freight vendor. Add vendors here whose COGS bills should go 100% to a specific channel.
vendor,1.97995E+18,Retail,,Canpar Express - Canadian courier for retail order deliveries.
vendor,1.97995E+18,Retail,,Han-Lin Yong - Assembly labour contractor (retail operations).
vendor,1.97995E+18,Retail,,City Business Brokerage LLC - Customs broker for Moonbike USA imports (retail this year).
vendor,1.97995E+18,Retail,,Worldwide Express GlobalTranz and Unishippers - US warehouse outbound freight (retail US orders).
vendor,1.97995E+18,Retail,,Hammad Mansoor - Assembly labour contractor (retail operations).
vendor,1.97995E+18,Retail,,Bloom - Assembly labour and delivery contractor (retail operations).
vendor,1.97995E+18,Retail,,Jason Avenido - Assembly labour contractor (retail operations).
vendor,1.97995E+18,Retail,,David Burnett - Assembly labour contractor (retail operations).
vendor,1.97995E+18,Retail,,Denis Charlebois - Assembly labour contractor (retail operations).
vendor,1.97995E+18,Retail,,Amir Hossein Qaidzadeh - Assembly labour contractor (retail operations).
costco_account,Discount - Costco Sales,Costco,,Costco promotional discount journals. Any transaction hitting this account with no invoice/credit note match is tagged Costco.
costco_account,Shipping Freight -Costco,Costco,,Costco-specific inbound freight. Tagged Costco when no invoice match.
costco_account,Cost of Labour - Costco,Costco,,Labour costs specific to Costco operations. Tagged Costco when no invoice match.
costco_account,Sales of Product Income Costco,Costco,,Revenue from Costco-specific SKUs. Only tagged Costco when no invoice match (invoice-matched ones use salesperson logic).
costco_account,Cost of Goods Sold Costco,Costco,,COGS for Costco-specific products. Only tagged Costco when no invoice match.
costco_account,Other Charges -Shipping Discount,Costco,,Shipping discount reclassification journals. These are the credit side of Costco discount journal entries.
so_prefix,89400,Costco,7,Costco Sales Order prefix. When an invoice has no salesperson and the SO# starts with this prefix (first 7 chars) it is tagged Costco.
so_prefix,SO-EB-,Retail,6,eBike BC Sales Order prefix. When an invoice has no salesperson and the SO# starts with this prefix (first 6 chars) it is tagged Retail.
